"Ukazatel","IndicatorType","Druh PHM","CENPHM","Týdny","CASTPHM","Území","Uz0","Hodnota"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 01. týden 2016","2016-W01","Česko","CZ","28.43"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 02. týden 2016","2016-W02","Česko","CZ","28.21"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 03. týden 2016","2016-W03","Česko","CZ","27.91"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 04. týden 2016","2016-W04","Česko","CZ","27.63"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 05. týden 2016","2016-W05","Česko","CZ","27.32"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 06. týden 2016","2016-W06","Česko","CZ","27.17"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 07. týden 2016","2016-W07","Česko","CZ","26.83"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 08. týden 2016","2016-W08","Česko","CZ","26.42"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 09. týden 2016","2016-W09","Česko","CZ","26.22"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 10. týden 2016","2016-W10","Česko","CZ","26.27"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 11. týden 2016","2016-W11","Česko","CZ","26.48"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 14. týden 2016","2016-W14","Česko","CZ","27.38"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 15. týden 2016","2016-W15","Česko","CZ","27.52"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 16. týden 2016","2016-W16","Česko","CZ","27.74"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 17. týden 2016","2016-W17","Česko","CZ","27.9"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 18. týden 2016","2016-W18","Česko","CZ","28.21"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 19. týden 2016","2016-W19","Česko","CZ","28.41"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 20. týden 2016","2016-W20","Česko","CZ","28.4"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 21. týden 2016","2016-W21","Česko","CZ","28.62"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 22. týden 2016","2016-W22","Česko","CZ","29.15"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 23. týden 2016","2016-W23","Česko","CZ","29.55"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 24. týden 2016","2016-W24","Česko","CZ","29.68"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 25. týden 2016","2016-W25","Česko","CZ","29.71"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 26. týden 2016","2016-W26","Česko","CZ","29.72"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 28. týden 2016","2016-W28","Česko","CZ","29.6"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 29. týden 2016","2016-W29","Česko","CZ","29.4"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 30. týden 2016","2016-W30","Česko","CZ","29.33"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 31. týden 2016","2016-W31","Česko","CZ","29.21"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 32. týden 2016","2016-W32","Česko","CZ","28.91"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 33. týden 2016","2016-W33","Česko","CZ","28.73"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 34. týden 2016","2016-W34","Česko","CZ","28.9"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 35. týden 2016","2016-W35","Česko","CZ","28.97"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 36. týden 2016","2016-W36","Česko","CZ","29.06"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 37. týden 2016","2016-W37","Česko","CZ","29.04"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 38. týden 2016","2016-W38","Česko","CZ","29.05"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 39. týden 2016","2016-W39","Česko","CZ","29.04"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 40. týden 2016","2016-W40","Česko","CZ","29.07"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 41. týden 2016","2016-W41","Česko","CZ","29.16"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 42. týden 2016","2016-W42","Česko","CZ","29.43"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 44. týden 2016","2016-W44","Česko","CZ","29.6"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 45. týden 2016","2016-W45","Česko","CZ","29.54"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 46. týden 2016","2016-W46","Česko","CZ","29.41"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 47. týden 2016","2016-W47","Česko","CZ","29.32"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 48. týden 2016","2016-W48","Česko","CZ","29.42"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 49. týden 2016","2016-W49","Česko","CZ","29.59"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 50. týden 2016","2016-W50","Česko","CZ","29.86"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 51. týden 2016","2016-W51","Česko","CZ","30.12"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 01. týden 2017","2017-W01","Česko","CZ","30.53"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 02. týden 2017","2017-W02","Česko","CZ","30.87"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 03. týden 2017","2017-W03","Česko","CZ","30.99"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 04. týden 2017","2017-W04","Česko","CZ","31.02"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 05. týden 2017","2017-W05","Česko","CZ","31.05"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 06. týden 2017","2017-W06","Česko","CZ","31.07"
